City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Fajardo,PR,2021-01-15 16:06:26,18.3258,-65.6524,84.2,65,20,8.05
68,Broken Hill,AU,2021-01-15 16:06:26,-31.95,141.4333,59.0,41,59,19.57
69,Chuy,UY,2021-01-15 16:06:26,-33.6971,-53.4616,79.83,60,56,14.05
70,Koungou,YT,2021-01-15 16:06:26,-12.7336,45.2042,82.4,78,0,8.05
71,Komsomolskiy,UZ,2021-01-15 16:06:27,40.4272,71.7189,37.4,65,0,6.91
72,Hasaki,JP,2021-01-15 16:01:59,35.7333,140.8333,43.0,87,75,6.91
73,Praia,CV,2021-01-15 16:06:27,14.9215,-23.5087,77.0,57,100,25.32
74,Mahebourg,MU,2021-01-15 16:06:27,-20.4081,57.7,82.4,83,40,10.36
75,Arraial Do Cabo,BR,2021-01-15 16:06:27,-22.9661,-42.0278,87.8,69,0,20.71
76,Thompson,CA,2021-01-15 16:06:27,55.7435,-97.8558,-5.8,84,75,2.3
77,Iwanai,JP,2021-01-15 16:06:27,42.9744,140.5089,26.89,96,100,9.48
78,Ostersund,SE,2021-01-15 16:06:27,63.1792,14.6357,14.0,92,0,6.91
79,Yukuhashi,JP,2021-01-15 16:06:27,33.7287,130.983,55.99,93,20,6.91
80,Esperance,AU,2021-01-15 16:06:28,-33.8667,121.9,57.2,72,17,11.5
81,Port Moresby,PG,2021-01-15 16:06:28,-9.4431,147.1797,77.0,94,75,5.75
82,Kapaa,US,2021-01-15 16:06:28,22.0752,-159.319,69.8,100,20,5.75
83,Vardo,NO,2021-01-15 16:06:28,70.3705,31.1107,30.2,93,75,6.91
84,Port Elizabeth,ZA,2021-01-15 16:06:28,-33.918,25.5701,71.6,73,20,28.77
85,Norman Wells,CA,2021-01-15 16:06:28,65.282,-126.8329,3.2,85,90,12.66
86,Constitucion,CL,2021-01-15 16:06:28,-35.3333,-72.4167,67.73,59,4,20.29
87,Hamilton,US,2021-01-15 16:06:29,39.1834,-84.5333,41.0,65,20,11.5
88,Tual,ID,2021-01-15 16:06:29,-5.6667,132.75,84.15,76,100,7.7
89,Namibe,AO,2021-01-15 16:06:29,-15.1961,12.1522,77.88,58,72,11.05
90,Tessalit,ML,2021-01-15 16:06:29,20.1986,1.0114,77.61,14,100,14.32
91,Bethel,US,2021-01-15 16:06:29,41.3712,-73.414,34.0,93,90,8.05
92,Biedenkopf,DE,2021-01-15 16:06:29,50.9167,8.5333,32.0,84,92,4.0
93,Coolum Beach,AU,2021-01-15 16:06:29,-26.5333,153.1,75.0,90,5,9.82
94,Shakawe,BW,2021-01-15 16:06:29,-18.3667,21.85,76.46,78,81,5.7
95,Ulaangom,MN,2021-01-15 16:06:29,49.9811,92.0667,-19.26,84,19,0.83
96,Adrar,MR,2021-01-15 16:06:29,20.5022,-10.0711,72.66,19,100,15.88
97,Shellbrook,CA,2021-01-15 16:06:30,53.2168,-106.4011,14.0,100,90,5.75
98,Malakal,SS,2021-01-15 16:06:30,9.5334,31.6605,86.47,14,14,5.79
99,Katsuura,JP,2021-01-15 16:06:30,35.1333,140.3,46.0,81,75,3.44
100,Acapulco,MX,2021-01-15 16:04:06,16.8634,-99.8901,80.6,78,90,4.61
101,Sabha,LY,2021-01-15 16:02:20,27.0377,14.4283,59.23,33,0,7.7
