,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
350,Sosnovka,RU,56.255,51.2842,12.52,95,100,8.97,snow
351,Usvyaty,RU,55.7456,30.7533,7.47,95,100,4.85,snow
352,Swinoujscie,PL,53.9105,14.2471,34.0,99,98,15.97,overcast clouds
353,Snasa,NO,64.2457,12.3778,6.8,85,0,13.8,clear sky
354,Faya,SA,18.3851,42.4509,50.0,81,0,4.99,clear sky
355,Razole,IN,16.4833,81.8333,67.21,95,2,2.53,clear sky
356,Perth,AU,-31.9333,115.8333,63.0,55,0,11.5,clear sky
357,Moose Factory,CA,51.2585,-80.6094,24.8,93,90,3.44,overcast clouds
358,Pietersburg,ZA,-23.9045,29.4688,68.0,88,48,5.75,scattered clouds
359,San Jeronimo,PE,-11.9472,-75.2829,60.21,57,96,5.26,overcast clouds
360,Leningradskiy,RU,69.3833,178.4167,-2.79,91,100,10.47,overcast clouds
361,Punta Alta,AR,-38.8759,-62.0736,87.01,29,33,19.57,scattered clouds
362,Port Lincoln,AU,-34.7333,135.8667,59.27,65,41,20.38,scattered clouds
363,Lagoa,PT,39.05,-27.9833,62.01,89,100,25.23,overcast clouds
364,Oranjemund,NA,-28.55,16.4333,65.91,86,35,9.24,scattered clouds
365,Sisimiut,GL,66.9395,-53.6735,10.71,92,97,4.09,overcast clouds
366,Amuntai,ID,-2.4177,115.2494,72.59,98,100,0.92,overcast clouds
367,San Cristobal,VE,7.7669,-72.225,86.0,54,40,10.36,scattered clouds
368,Benguela,AO,-12.5763,13.4055,74.95,72,84,3.53,broken clouds
369,Portree,GB,57.4129,-6.1942,41.0,89,11,1.01,few clouds
370,Byron Bay,AU,-28.65,153.6167,75.2,78,0,2.3,clear sky
371,Tuatapere,NZ,-46.1333,167.6833,73.0,64,13,3.0,few clouds
372,Poya,NC,-21.35,165.15,76.69,91,100,4.79,overcast clouds
373,Lompoc,US,34.6391,-120.4579,80.6,28,1,8.05,clear sky
374,Batticaloa,LK,7.7102,81.6924,77.61,86,100,3.71,moderate rain
375,Baykit,RU,61.67,96.37,-21.75,79,16,4.23,few clouds
376,Shaoyang,CN,27.2315,111.4525,48.38,55,0,1.25,clear sky
377,West Wendover,US,40.7391,-114.0733,42.8,36,1,4.61,clear sky
378,Ust-Maya,RU,60.4167,134.5333,-48.64,76,80,1.57,broken clouds
379,Usinsk,RU,65.9939,57.5281,-17.41,86,100,6.93,overcast clouds
380,Heyang,CN,26.1011,107.473,42.46,62,30,2.04,scattered clouds
381,San Lawrenz,MT,36.0553,14.204,57.0,82,75,23.02,broken clouds
382,Grand Gaube,MU,-20.0064,57.6608,75.0,85,53,3.0,broken clouds
383,Okmulgee,US,35.6234,-95.9605,55.4,24,1,17.27,clear sky
384,Nanortalik,GL,60.1432,-45.2371,22.59,93,96,4.32,overcast clouds
385,Jalu,LY,29.0331,21.5482,53.85,84,0,8.05,clear sky
386,Margate,GB,51.3813,1.3862,39.99,72,100,4.0,overcast clouds
387,Marathon,US,44.9,-89.7668,37.0,87,90,11.5,mist
388,Pangai,TO,-19.8,-174.35,84.2,84,20,5.75,few clouds
389,Houma,US,29.5958,-90.7195,69.01,41,0,7.0,clear sky
390,Sinnamary,GF,5.3833,-52.95,77.05,87,99,12.86,overcast clouds
391,Gushikawa,JP,26.3544,127.8686,64.4,82,90,3.44,overcast clouds
392,Muzhi,RU,65.3667,64.6667,-5.84,86,100,4.9,overcast clouds
393,Saint-Pierre,RE,-21.3393,55.4781,78.8,83,75,2.3,broken clouds
394,Balabac,PH,7.9868,117.0645,78.84,85,100,3.62,moderate rain
395,Carmen,MX,18.6333,-91.8333,75.2,73,75,12.66,broken clouds
396,Muhos,FI,64.808,25.9931,-16.6,69,75,3.44,broken clouds
397,Dalian,CN,38.9122,121.6022,33.8,80,20,13.69,few clouds
398,Umm Lajj,SA,25.0213,37.2685,69.03,51,77,11.36,broken clouds
399,Mehran,IR,33.1222,46.1646,50.0,14,75,6.91,broken clouds
400,Grand Falls,CA,47.0461,-67.7418,33.8,69,90,2.01,overcast clouds
401,Basco,PH,20.4487,121.9702,70.92,72,5,18.16,clear sky
402,Meulaboh,ID,4.1363,96.1285,75.85,83,100,3.71,overcast clouds
403,Narsaq,GL,60.9167,-46.05,24.8,80,90,4.61,overcast clouds
404,Gorontalo,ID,0.5412,123.0595,75.22,87,93,3.15,overcast clouds
405,Namibe,AO,-15.1961,12.1522,72.99,68,33,5.26,scattered clouds
406,Bemidji,US,47.4736,-94.8803,35.01,100,90,5.75,snow
407,Powell,US,40.1578,-83.0752,45.0,61,1,11.5,clear sky
408,Ouargaye,BF,11.5033,0.0572,74.57,17,0,9.84,clear sky
409,Priargunsk,RU,50.3691,119.1012,-29.76,84,0,0.31,clear sky
410,Celina,US,40.5489,-84.5702,44.01,65,1,9.22,clear sky
411,Cariati,IT,39.4922,16.9594,46.99,100,90,3.44,fog
412,Kyshtovka,RU,56.555,76.6271,-18.26,86,0,6.33,clear sky
413,Havoysund,NO,70.9963,24.6622,33.8,86,75,6.91,broken clouds
414,Port Hardy,CA,50.6996,-127.4199,46.4,71,75,27.63,broken clouds
415,Pyinmana,MM,19.7333,96.2167,58.03,74,29,1.39,scattered clouds
416,Kashi,CN,39.4547,75.9797,24.8,63,0,4.47,dust
417,Sinegorye,RU,62.0788,150.477,-25.67,81,99,0.6,overcast clouds
418,Taltal,CL,-25.4,-70.4833,68.49,61,23,7.2,few clouds
419,Tapejara,BR,-28.0681,-52.0139,70.12,89,5,7.2,clear sky
420,Na Klang,TH,17.3072,102.1889,64.0,100,0,5.19,clear sky
421,Bakhtiyarpur,IN,25.4667,85.5167,44.6,93,90,3.44,fog
422,Kirakira,SB,-10.4544,161.9205,84.13,67,60,7.34,broken clouds
423,Ust-Uda,RU,54.1742,103.0304,3.79,91,100,6.46,overcast clouds
424,Yinchuan,CN,38.4681,106.2731,24.42,78,74,3.27,broken clouds
425,Lakes Entrance,AU,-37.8811,147.981,64.0,71,65,6.08,broken clouds
426,Florianopolis,BR,-27.6146,-48.5012,79.0,88,90,10.36,light intensity drizzle
427,Manokwari,ID,-0.8667,134.0833,79.45,75,100,4.85,overcast clouds
428,Cidreira,BR,-30.1811,-50.2056,72.12,73,52,19.8,broken clouds
429,Bereda,ES,43.2686,-7.5406,42.01,100,39,0.38,scattered clouds
430,Muroto,JP,33.2833,134.15,41.0,87,75,10.36,broken clouds
431,Piripiri,BR,-4.2733,-41.7769,80.13,69,63,8.37,broken clouds
432,Arman,RU,59.7,150.1667,-18.62,77,0,7.36,clear sky
433,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,71,95,17.85,overcast clouds
434,Lardos,GR,36.0942,28.0157,55.4,58,40,9.22,scattered clouds
435,Artsyz,UA,45.9919,29.4182,28.58,96,88,6.22,overcast clouds
436,Huaraz,PE,-9.5333,-77.5333,56.48,68,100,5.12,light rain
437,Preston,GB,53.7667,-2.7167,33.8,100,40,8.05,scattered clouds
438,Alofi,NU,-19.0595,-169.9187,84.2,79,40,8.05,light rain
439,Evensk,RU,61.95,159.2333,-24.75,74,0,8.3,clear sky
440,Pakokku,MM,21.3333,95.1,63.99,59,71,1.63,broken clouds
441,Sioux Lookout,CA,50.1001,-91.917,32.0,86,90,4.61,overcast clouds
442,Kurilsk,RU,45.2333,147.8833,17.94,93,98,30.4,overcast clouds
443,Sinjai,ID,-5.1241,120.253,76.5,84,100,3.91,heavy intensity rain
444,Ararat,AM,39.8317,44.7049,39.2,75,40,1.14,mist
445,Yining,CN,29.0361,114.5636,45.27,58,0,0.89,clear sky
446,Bull Savanna,JM,17.8868,-77.5902,78.06,79,83,11.77,broken clouds
447,Mitsamiouli,KM,-11.3847,43.2844,80.78,77,5,9.19,clear sky
448,Salvador,SV,13.8333,-88.9167,84.2,73,20,9.22,few clouds
449,Unai,BR,-16.3575,-46.9061,72.21,90,100,4.54,overcast clouds
450,Burnie,AU,-41.0667,145.9167,53.01,92,86,4.0,light rain
451,Russell,US,32.3502,-85.1999,60.8,33,1,9.22,clear sky
452,Tonj,SS,7.2737,28.6822,74.1,23,0,4.25,clear sky
453,Loukhi,RU,66.0764,33.0381,-8.23,91,10,3.89,clear sky
454,Gilbues,BR,-9.8317,-45.3439,74.44,87,97,4.97,heavy intensity rain
455,Chuy,UY,-33.6971,-53.4616,69.35,61,0,12.26,clear sky
456,Mehadica,RO,45.0392,22.2636,32.0,85,53,1.01,broken clouds
457,Dakar,SN,14.6937,-17.4441,66.2,77,0,11.5,clear sky
458,Adrar,MR,20.5022,-10.0711,62.13,26,40,14.05,scattered clouds
459,Lasa,IT,46.6166,10.7002,35.6,93,90,5.75,light snow
460,Mapiripan,CO,2.8892,-72.1256,80.53,69,72,2.71,broken clouds
461,Khandyga,RU,62.6667,135.6,-49.72,76,55,1.83,broken clouds
462,La Ronge,CA,55.1001,-105.2842,23.0,80,99,14.97,overcast clouds
463,Huarmey,PE,-10.0681,-78.1522,73.6,76,97,10.0,overcast clouds
464,Carlagan,PH,14.975,122.0456,77.34,79,54,18.1,broken clouds
465,Kjopsvik,NO,68.097,16.3742,35.01,93,75,11.5,light snow
466,Quchan,IR,37.106,58.5095,40.26,50,33,4.52,scattered clouds
467,Lazaro Cardenas,MX,17.9583,-102.2,82.9,60,100,8.19,overcast clouds
468,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-0.4,71,100,6.71,overcast clouds
469,Skjervoy,NO,70.0311,20.9714,36.43,92,100,22.86,overcast clouds
470,Waipawa,NZ,-41.4122,175.5153,64.99,100,90,6.91,fog
471,Buchanan,LR,5.8808,-10.0467,75.2,94,75,3.44,broken clouds
472,Hualmay,PE,-11.0964,-77.6139,72.88,77,100,8.5,overcast clouds
473,Kortkeros,RU,61.8106,51.5806,-2.2,92,75,4.47,snow
474,Healdsburg,US,38.6105,-122.8692,71.01,72,40,1.23,scattered clouds
475,Vila Do Maio,CV,15.1333,-23.2167,71.6,68,0,18.41,clear sky
476,Daru,PG,-9.0763,143.2092,80.2,84,100,9.17,light rain
477,Ardakan,IR,32.31,54.0175,46.4,17,0,6.91,clear sky
478,Raga,SS,8.4596,25.678,67.84,24,92,4.88,overcast clouds
479,Kirkwall,GB,58.9848,-2.9587,41.0,87,90,19.57,overcast clouds
480,Belmonte,BR,-15.8631,-38.8828,78.8,73,40,11.5,scattered clouds
481,Katsuura,JP,35.1333,140.3,44.6,65,75,10.36,broken clouds
482,Casablanca,MA,33.5928,-7.6192,51.01,100,0,1.14,clear sky
483,Cherskiy,RU,68.75,161.3,-23.33,85,98,7.05,overcast clouds
484,Yarmouth,US,41.7057,-70.2286,46.4,71,90,6.6,overcast clouds
485,Nichlaul,IN,27.3167,83.7333,51.13,72,31,1.79,scattered clouds
486,Harnosand,SE,62.6323,17.9379,9.0,78,90,6.91,light snow
487,Viedma,AR,-40.8135,-62.9967,82.98,30,93,26.53,overcast clouds
488,Zabol,AF,32.25,67.25,35.29,59,0,2.3,clear sky
489,Chino Valley,US,34.7575,-112.4538,68.0,12,1,14.97,clear sky
490,Gillette,US,44.2911,-105.5022,30.2,47,90,33.38,overcast clouds
491,Tukrah,LY,32.5341,20.5791,58.5,76,5,13.44,clear sky
492,North Las Vegas,US,36.1989,-115.1175,70.0,24,1,6.91,clear sky
493,Conceicao Do Araguaia,BR,-8.2578,-49.2647,79.68,81,100,3.67,light rain
494,Mugur-Aksy,RU,50.35,90.5,-16.74,74,0,6.24,clear sky
495,San Rafael Del Sur,NI,11.8485,-86.4384,89.6,55,20,18.41,few clouds
496,Zapolyarnyy,RU,69.4154,30.8136,8.6,92,75,8.05,broken clouds
497,Uspantan,GT,15.3833,-90.8333,73.4,78,75,6.91,broken clouds
498,Bronnoysund,NO,65.4625,12.1997,26.6,74,75,1.14,broken clouds
499,Uchiza,PE,-8.4592,-76.4633,80.46,71,84,1.54,light rain
500,Nouakchott,MR,18.0858,-15.9785,71.6,12,0,13.8,clear sky
501,Bahia Blanca,AR,-38.7196,-62.2724,89.15,24,24,18.37,few clouds
502,Tonantins,BR,-2.8731,-67.8022,81.59,77,93,1.83,overcast clouds
503,Sembe,CG,1.6481,14.5806,74.07,77,73,5.66,broken clouds
504,Otelu Rosu,RO,45.5333,22.3667,27.0,97,100,3.69,light snow
505,Sawakin,SD,19.1059,37.3321,77.56,75,23,1.57,few clouds
506,Caravelas,BR,-17.7125,-39.2481,77.85,80,0,8.21,clear sky
507,Zarate,AR,-34.0981,-59.0286,84.99,50,0,1.99,clear sky
508,Moron,AR,-34.6534,-58.6198,81.0,46,0,8.01,clear sky
509,Novyy Urgal,RU,51.0736,132.5642,-20.38,86,96,1.88,light snow
510,Shimoda,JP,34.6667,138.95,41.0,79,94,15.48,overcast clouds
511,Cuamba,MZ,-14.8031,36.5372,71.58,94,100,2.33,light rain
512,Yuma,US,32.7253,-114.6244,79.0,13,20,16.11,few clouds
513,Padang,ID,-0.9492,100.3543,76.37,70,29,4.41,scattered clouds
514,Vanavara,RU,60.34,102.2797,-10.16,89,100,8.01,overcast clouds
515,Cap Malheureux,MU,-19.9842,57.6142,75.0,85,39,3.0,scattered clouds
516,Tarauaca,BR,-8.1614,-70.7656,74.01,97,100,2.08,light rain
517,Banda Aceh,ID,5.5577,95.3222,76.86,84,98,8.93,overcast clouds
518,Kuytun,RU,54.3419,101.5036,5.07,86,100,11.81,overcast clouds
519,Ekibastuz,KZ,51.6667,75.3667,-14.37,84,0,7.72,clear sky
520,Druzhba,UA,52.0428,33.9453,16.72,97,89,6.6,snow
521,Pita,GN,10.8333,-12.5833,73.6,19,43,4.54,scattered clouds
522,Salmas,IR,38.1973,44.7653,41.0,65,75,9.22,broken clouds
523,Neryungri,RU,56.6709,124.6491,-30.68,75,41,1.66,scattered clouds
524,Coquimbo,CL,-29.9533,-71.3436,64.4,68,0,12.66,clear sky
525,Novooleksiyivka,UA,46.2269,34.6428,31.37,96,100,5.99,overcast clouds
526,Zeya,RU,53.75,127.2667,-22.86,84,24,0.63,few clouds
527,Wheatley,GB,51.7473,-1.1394,37.4,87,75,9.22,broken clouds
528,Mwense,ZM,-10.3845,28.698,66.43,93,94,3.47,light rain
529,Purna,IN,19.1833,77.05,65.97,44,0,5.14,clear sky
530,Zhigalovo,RU,54.8097,105.1578,1.09,90,100,6.8,overcast clouds
531,Orange Cove,US,36.6244,-119.3137,64.99,52,1,1.66,clear sky
532,Acajutla,SV,13.5928,-89.8275,87.8,37,0,4.61,clear sky
533,Acolla,PE,-11.7319,-75.5463,56.59,62,95,8.14,overcast clouds
534,Sibolga,ID,1.7427,98.7792,75.65,76,100,3.04,overcast clouds
535,Ilulissat,GL,69.2167,-51.1,17.6,93,75,3.44,light snow
536,Moron De La Frontera,ES,37.1208,-5.454,37.4,93,0,3.44,clear sky
537,Bilibino,RU,68.0546,166.4372,-21.78,83,98,0.72,overcast clouds
538,Staroaleyskoye,RU,51.0061,82.0,-23.06,83,0,1.68,clear sky
539,Leshukonskoye,RU,64.8989,45.7622,-13.76,87,95,4.23,overcast clouds
540,Nuevo Progreso,MX,23.1667,-97.95,75.99,47,71,4.0,broken clouds
541,Novospasskoye,RU,53.1468,47.7514,16.23,96,100,5.86,light snow
542,Kwinana,AU,-32.25,115.7667,64.0,59,28,20.71,scattered clouds
543,Fria,GN,10.4167,-13.5833,69.73,87,15,1.81,few clouds
544,Tahe,CN,52.3333,124.7333,-20.16,84,0,2.42,clear sky
545,Ulladulla,AU,-35.35,150.4667,69.8,68,40,8.05,scattered clouds
546,Charlestown,AU,-32.95,151.6667,75.99,86,85,7.09,overcast clouds
547,Severodvinsk,RU,64.5635,39.8302,-29.2,68,0,2.42,clear sky
548,San Clemente,US,33.427,-117.612,81.0,29,0,4.88,clear sky
549,Kinablangan,PH,7.6947,126.5503,77.68,80,58,5.41,light rain
550,Sosenskiy,RU,54.059,35.9623,3.2,85,38,2.24,scattered clouds
551,Formosa,AR,-26.1775,-58.1781,93.2,55,75,6.91,broken clouds
552,Talaya,RU,61.3833,152.75,-38.04,79,100,0.36,overcast clouds
553,Lingao,CN,19.9103,109.6859,59.32,62,8,5.14,clear sky
554,Beringovskiy,RU,63.05,179.3167,-16.55,87,23,7.78,few clouds
555,Grand Baie,MU,-20.0182,57.5802,75.0,85,28,3.0,scattered clouds
556,Mezen,RU,65.8522,44.24,-17.91,86,0,2.26,clear sky
557,Luganville,VU,-15.5333,167.1667,85.28,71,99,6.08,light rain
558,Snyder,US,32.7179,-100.9176,51.8,28,1,12.66,clear sky
559,Nishihara,JP,26.1842,127.7558,64.4,72,90,11.5,overcast clouds
560,Jiaohe,CN,43.7286,127.3447,10.09,94,100,4.63,light snow
561,Xining,CN,36.6167,101.7667,21.29,73,89,0.63,overcast clouds
562,Yar-Sale,RU,66.8333,70.8333,-5.46,88,75,7.52,broken clouds
563,Cortland,US,42.6001,-76.083,36.0,87,90,1.59,overcast clouds
564,Mantua,IT,45.1667,10.7833,36.0,93,88,3.0,overcast clouds
565,Saint-Augustin,CA,51.226,-58.6502,26.64,95,100,4.92,overcast clouds
566,Anloga,GH,5.7947,0.8973,80.6,89,20,9.22,few clouds
567,Mehamn,NO,71.0357,27.8492,28.4,93,75,9.22,broken clouds
568,Isla Vista,US,34.4133,-119.861,82.0,22,1,6.91,clear sky
569,Shestakovo,RU,56.4915,103.96,3.54,90,100,11.5,light snow
570,Vardo,NO,70.3705,31.1107,32.0,69,75,11.5,broken clouds
571,Turayf,SA,31.6725,38.6637,44.6,93,40,9.22,scattered clouds
572,Akdepe,TM,42.0551,59.3788,33.8,64,0,11.5,clear sky
573,Glenwood Springs,US,39.5505,-107.3248,37.4,38,1,8.05,clear sky
574,Angouleme,FR,45.65,0.15,46.0,93,75,9.22,broken clouds
575,Namtsy,RU,62.7161,129.6658,-59.8,57,90,3.31,fog
576,Macapa,BR,0.0389,-51.0664,86.0,74,20,13.8,heavy intensity rain
577,Grajau,BR,-5.8194,-46.1386,75.63,93,100,3.89,light rain
578,Arvika,SE,59.6553,12.5852,17.6,93,90,3.44,overcast clouds
579,Sakakah,SA,29.9697,40.2064,55.4,67,0,8.05,clear sky
580,Alekseyevka,RU,50.6309,38.6903,14.54,95,76,2.15,broken clouds
581,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,78.12,80,94,2.53,overcast clouds
582,Raipur,IN,21.2333,81.6333,54.09,41,0,2.75,clear sky
583,Manutuke,NZ,-38.6833,177.9167,71.01,70,100,4.0,overcast clouds
584,Challakere,IN,14.3167,76.65,69.19,76,1,5.64,clear sky
585,Liling,CN,27.6667,113.5,37.4,93,0,2.24,clear sky
586,Ponta Delgada,PT,37.7333,-25.6667,62.01,94,75,12.66,broken clouds
587,Imbituba,BR,-28.24,-48.6703,71.6,88,90,10.36,light intensity drizzle
588,Ola,RU,59.5833,151.2833,-19.44,79,0,7.43,clear sky
589,Big Spring,US,32.2504,-101.4787,55.0,30,1,10.36,clear sky
590,Acapulco,MX,16.8634,-99.8901,82.4,74,90,9.22,overcast clouds
591,Lagos,NG,6.5833,3.75,79.23,82,0,5.44,clear sky
592,Balkhash,KZ,46.844,74.9804,-5.84,84,0,15.23,clear sky
593,Bandarbeyla,SO,9.4942,50.8122,73.72,76,21,16.26,few clouds
594,Sept-Iles,CA,50.2001,-66.3821,28.99,93,96,1.14,overcast clouds
595,Le Vauclin,MQ,14.5452,-60.8388,78.8,83,90,10.36,overcast clouds
596,Fort Walton Beach,US,30.4058,-86.6188,60.8,63,1,6.91,clear sky
597,Cody,US,44.5263,-109.0565,35.01,25,1,14.97,clear sky
598,Potchefstroom,ZA,-26.7167,27.1,68.76,77,72,1.86,broken clouds
599,Palmer,US,42.1584,-72.3287,37.0,100,90,3.44,light snow
600,Kindu,CD,-2.95,25.95,69.06,97,100,1.28,overcast clouds
601,Ankang,CN,32.68,109.0172,39.72,66,10,1.83,clear sky
602,Najran,SA,17.4924,44.1277,57.2,33,0,1.16,clear sky
603,Puerto Penasco,MX,31.3167,-113.5333,75.0,22,8,7.0,clear sky
604,Atar,MR,20.5169,-13.0499,64.31,24,91,14.5,overcast clouds
605,Kungurtug,RU,50.5994,97.5228,-13.54,84,100,0.67,overcast clouds
606,Cassilandia,BR,-19.1133,-51.7342,74.16,90,100,0.27,light rain
607,Sobolevo,RU,54.4299,31.8996,-1.71,92,99,4.97,overcast clouds
608,Saint-Andre-Les-Vergers,FR,48.2853,4.0521,46.4,93,90,18.41,overcast clouds
609,Kutum,SD,14.2,24.6667,57.85,32,0,9.69,clear sky
610,Hovd,MN,48.0056,91.6419,-3.48,73,3,6.26,clear sky
611,Rio Grande,BR,-32.035,-52.0986,75.0,63,1,4.0,clear sky
612,Natal,BR,-5.795,-35.2094,80.6,74,20,11.5,few clouds
613,Paragominas,BR,-2.9667,-47.4833,74.19,96,99,3.85,light rain
614,Salinas,US,36.6777,-121.6555,75.2,38,1,6.91,clear sky
615,Prince Rupert,CA,54.3161,-130.3201,46.4,70,90,12.66,heavy intensity rain
616,Sumkino,RU,58.1108,68.3244,-14.4,86,77,6.69,broken clouds
617,Soloneshnoye,RU,51.6544,84.3197,-11.06,81,0,2.01,clear sky
618,Chernyshevskiy,RU,63.0128,112.4714,-10.21,92,100,5.12,overcast clouds
619,Naron,ES,43.5167,-8.1528,52.0,100,75,3.44,light intensity drizzle
620,Roma,US,43.2128,-75.4557,37.4,70,90,1.48,overcast clouds
621,San Rafael,AR,-34.6177,-68.3301,90.05,30,5,19.26,clear sky
622,Roebourne,AU,-20.7833,117.1333,91.76,45,54,5.32,light rain
623,Jacareacanga,BR,-6.2222,-57.7528,76.41,95,100,1.54,light rain
624,Pacsa,HU,46.7198,17.014,33.8,69,0,11.5,clear sky
625,Tome,CL,-36.6167,-72.95,66.2,59,0,13.8,clear sky
626,Panjab,AF,34.388,67.0233,16.3,47,7,2.28,clear sky
627,Praia,CV,14.9215,-23.5087,71.6,68,0,18.41,clear sky
628,High Level,CA,58.5169,-117.136,15.8,100,20,2.3,few clouds
629,Yongan,CN,39.6957,113.6871,16.45,82,53,15.37,broken clouds
630,Ayorou,NE,14.7308,0.9174,74.21,18,0,7.05,clear sky
631,Rochegda,RU,62.8,43.25,-7.74,91,99,3.04,overcast clouds
632,Ler,SS,8.3018,30.1418,74.95,19,0,5.64,clear sky
633,Tiznit,MA,29.5833,-9.5,49.78,68,5,1.28,clear sky
634,Araioses,BR,-2.89,-41.9031,82.4,78,40,19.57,scattered clouds
635,Veraval,IN,20.9,70.3667,68.2,36,0,9.93,clear sky
636,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,80.15,90,100,1.86,overcast clouds
637,Chiang Rai,TH,19.9167,99.9167,55.4,100,15,1.14,few clouds
638,Grindavik,IS,63.8424,-22.4338,37.4,87,75,16.11,broken clouds
639,Neckargemund,DE,49.3922,8.7942,33.8,75,0,1.14,clear sky
640,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.94,95,86,2.53,moderate rain
641,Alice Springs,AU,-23.7,133.8833,84.2,28,0,8.05,clear sky
642,General Roca,AR,-39.0333,-67.5833,84.2,51,0,5.75,clear sky
643,Tsiroanomandidy,MG,-18.7667,46.0333,68.43,92,100,3.76,overcast clouds
644,Whitianga,NZ,-36.8333,175.7,78.01,65,6,5.01,clear sky
645,Barstow,US,34.8986,-117.0228,69.8,19,1,2.46,clear sky
646,Bafq,IR,31.6128,55.4107,52.0,35,32,8.37,scattered clouds
647,Saint-Joseph,RE,-21.3667,55.6167,78.8,83,75,2.3,broken clouds
648,Nyaunglebin,MM,17.95,96.7333,60.49,76,0,0.94,clear sky
649,Soyo,AO,-6.1349,12.3689,78.26,74,0,7.65,clear sky
650,Manhattan,US,40.7834,-73.9662,50.0,46,20,3.49,few clouds
651,Axim,GH,4.8699,-2.2405,79.38,85,93,9.28,overcast clouds
652,Simplicio Mendes,BR,-7.8539,-41.9103,75.79,84,60,4.47,broken clouds
653,Nuuk,GL,64.1835,-51.7216,23.0,93,75,1.14,light snow
654,Bud,US,39.447,-86.1758,45.0,75,100,9.26,overcast clouds
655,Saint-Leu,RE,-21.15,55.2833,78.8,83,75,2.3,broken clouds
656,Taraza,CO,7.5836,-75.4007,82.45,81,70,2.26,light rain
657,Wageningen,NL,51.9667,5.6667,34.0,100,90,10.36,overcast clouds
658,Mus,TR,39.0,41.75,31.42,98,99,7.9,light snow
659,Kalmunai,LK,7.4167,81.8167,77.99,85,100,2.68,light rain
660,Port Augusta,AU,-32.5,137.7667,60.8,67,90,11.5,overcast clouds
661,Teahupoo,PF,-17.8333,-149.2667,87.8,62,40,3.44,scattered clouds
662,Port-Gentil,GA,-0.7193,8.7815,78.8,94,20,3.44,few clouds
663,Raudeberg,NO,61.9875,5.1352,30.99,88,0,5.66,clear sky
664,Pandan,PH,14.0453,124.1694,78.42,88,91,10.92,light rain
665,Jiangyou,CN,31.7667,104.7167,38.64,71,0,3.62,clear sky
666,Krasnoselkup,RU,65.7,82.4667,-21.06,80,99,3.98,overcast clouds
667,Arshan,RU,46.2732,44.22,30.2,100,88,6.71,overcast clouds
668,Filimonovo,RU,56.2011,95.4611,1.27,89,100,22.86,overcast clouds
669,Dryden,CA,49.7833,-92.7503,32.0,86,90,6.91,light snow
670,Kamaishi,JP,39.2667,141.8833,25.92,88,0,7.16,clear sky
671,Tubmanburg,LR,6.8708,-10.8172,74.82,94,66,2.66,broken clouds
672,Batagay-Alyta,RU,67.8006,130.4114,-37.91,70,81,0.11,broken clouds
673,Sabang,ID,5.8933,95.3214,80.94,79,97,15.52,overcast clouds
674,Ngunguru,NZ,-35.6167,174.5,77.0,61,4,5.01,clear sky
675,San Quintin,MX,30.4833,-115.95,70.52,31,0,7.14,clear sky
676,Muros,ES,42.7762,-9.0603,52.0,88,61,3.53,broken clouds
677,Lagarto,BR,-10.9172,-37.65,80.6,83,20,12.66,few clouds
678,West Bay,KY,19.3667,-81.4167,84.2,70,20,2.3,few clouds
679,Elbrus,RU,43.2577,42.6443,31.23,87,98,9.31,light snow
680,Gladstone,AU,-23.85,151.25,78.8,61,0,9.22,light rain
681,Tera,NE,14.0078,0.7531,72.36,19,0,8.12,clear sky
682,Ahvaz,IR,31.3203,48.6693,51.8,76,75,2.3,haze
683,Murgab,TM,37.4966,61.9714,44.6,87,0,9.22,clear sky
684,Sesheke,ZM,-17.4759,24.2968,69.21,92,100,5.26,light rain
685,Darasun,RU,51.6667,114.0,-9.4,64,0,11.18,clear sky
686,Gizo,SB,-8.103,156.8419,84.27,72,39,12.8,scattered clouds
687,Harrai,IN,22.6167,79.2167,50.47,41,0,1.74,clear sky
688,Huambo,AO,-12.7761,15.7392,58.39,73,94,3.29,overcast clouds
689,Almaznyy,RU,48.0448,40.045,28.4,86,90,11.18,overcast clouds
690,Poplar Bluff,US,36.757,-90.3929,55.4,47,90,8.05,overcast clouds
691,Deqing,CN,30.5448,119.9599,50.0,57,22,7.0,few clouds
692,Lewiston,US,44.1003,-70.2148,33.01,95,90,2.57,overcast clouds
693,Durban,ZA,-29.8579,31.0292,79.0,83,0,8.05,clear sky
694,Varna,BG,43.2167,27.9167,33.8,86,75,4.61,light snow
695,Tamandare,BR,-8.7597,-35.1047,78.87,77,22,10.54,few clouds
696,Mopti,ML,14.6667,-4.0,78.8,29,0,9.22,clear sky
